#x	largeOverTotal
0	1
10	0.7692308
20	0.3333333
30	0.2916667
40	0.2391304
50	0.1044776
60	0.1265823
70	0.1136364
80	0.0990991
90	0.07407407
100	0.05660377
110	0.04564315
120	0.02601156
130	0.02846975
140	0.02115159
150	0.01319261
160	0.01161996
170	0.01096805
180	0.00671406
190	0.006688963
200	0.004266786
210	0.004490712
220	0.003926702
230	0.00501952
240	0.004636162
250	0.004768717
260	0.00782661
270	0.01007326
280	0.01408451
290	0.02094972
300	0.02262443
310	0.04268293
320	0.04790419
330	0.09782609
340	0.1960784
350	0.15625
360	0.5
