#x	numberInfected
0	2
1	3
2	5
3	7
4	10
5	12
6	13
7	17
8	21
9	28
10	34
11	42
12	52
13	59
14	67
15	84
16	108
17	136
18	159
19	196
20	238
21	281
22	341
23	419
24	502
25	620
26	726
27	895
28	1070
29	1311
30	1558
31	1840
32	2191
33	2600
34	3000
35	3437
36	3967
37	4448
38	4877
39	5273
40	5546
41	5764
42	5833
43	5786
44	5623
45	5344
46	4932
47	4447
48	3908
49	3308
50	2791
51	2249
52	1769
53	1353
54	1013
55	744
56	501
57	341
58	222
59	138
60	90
61	63
62	35
63	24
64	8
65	3
66	1
67	0
