#x	numberCluster
0	1
10	3
20	2
30	2
40	4
50	6
60	8
70	13
80	13
90	20
100	26
110	39
120	64
130	77
140	83
150	114
160	199
170	258
180	343
190	454
200	589
210	783
220	973
230	1203
240	1405
250	1554
260	1612
270	1639
280	1546
290	1455
300	1211
310	977
320	697
330	504
340	343
350	236
360	169
370	103
380	63
390	39
400	27
410	18
420	11
430	10
440	9
450	4
460	2
