#x	R0Mean
1	NaN
2	NaN
3	NaN
4	NaN
5	NaN
6	NaN
7	NaN
8	NaN
9	NaN
10	3.940605
11	3.940605
12	3.32083
13	3.262792
14	2.939501
15	2.891917
16	2.806172
17	2.790712
18	2.781715
19	2.72061
20	2.657469
21	2.645953
22	2.601356
23	2.601251
24	2.586206
25	2.575197
26	2.559667
27	2.548738
28	2.54084
29	2.52589
30	2.516906
31	2.502866
32	2.487731
33	2.462663
34	2.438938
35	2.413885
36	2.388425
37	2.349563
38	2.298991
39	2.234957
40	2.169368
41	2.094942
42	2.006983
43	1.913564
44	1.821749
45	1.72789
46	1.62846
47	1.534112
48	1.447975
49	1.365016
50	1.298077
51	1.233385
52	1.179175
53	1.134894
54	1.099952
55	1.072832
56	1.048813
57	1.033239
58	1.02164
59	1.013465
60	1.008781
61	1.006132
62	1.003374
63	1.002285
64	1.000797
65	1.0003
66	1.0002
67	1.0001
