#x	numberInfected
0	1
10	13
20	9
30	24
40	46
50	67
60	79
70	88
80	111
90	135
100	159
110	241
120	346
130	562
140	851
150	1137
160	1463
170	2097
180	2532
190	3289
200	4453
210	4899
220	5348
230	5379
240	4961
250	4194
260	3322
270	2184
280	1278
290	716
300	442
310	328
320	167
330	92
340	51
350	32
360	2
