#x	accInfections
0	6.25e-06
10	0.00019375
20	0.00034375
30	0.00065625
40	0.00133125
50	0.00231875
60	0.003675
70	0.0049875
80	0.00670625
90	0.00868125
100	0.0111125
110	0.0147125
120	0.02008125
130	0.02855
140	0.0411125
150	0.05866875
160	0.081575
170	0.11245
180	0.1516812
190	0.2017625
200	0.2696688
210	0.3491313
220	0.4359812
230	0.5250187
240	0.609325
250	0.6828188
260	0.7417125
270	0.7826375
280	0.8071687
290	0.821175
300	0.8293187
310	0.8347438
320	0.8381812
330	0.839975
340	0.8411937
350	0.841825
360	0.8420313
