0	1	1
5	2	4
10	NA	14
15	NA	16
20	NA	10
25	NA	8
30	NA	6
35	NA	12
40	NA	15
45	NA	13
50	NA	6
55	NA	10
60	NA	14
65	NA	9
70	NA	18
75	NA	11
80	NA	13
85	NA	13
90	NA	16
95	NA	9
100	NA	19
105	NA	15
110	NA	16
115	NA	17
120	NA	16
125	NA	17
130	NA	19
135	NA	21
140	NA	23
145	NA	19
150	NA	16
155	NA	19
160	NA	23
165	NA	17
170	NA	19
175	NA	19
180	NA	22
185	NA	28
190	NA	23
195	NA	27
200	NA	25
205	NA	24
210	NA	22
215	NA	25
220	NA	32
225	NA	20
230	NA	25
235	NA	36
240	NA	24
245	NA	22
250	NA	36
255	NA	37
260	NA	28
265	NA	20
270	NA	24
275	NA	21
280	NA	20
285	NA	20
290	NA	15
295	NA	16
300	NA	26
305	NA	17
310	NA	12
315	NA	12
320	NA	16
325	NA	13
330	NA	10
335	NA	15
340	NA	14
345	NA	18
350	NA	9
355	NA	5
360	NA	9
365	NA	4
370	NA	4
375	NA	6
380	NA	7
385	NA	6
390	NA	3
395	NA	4
400	NA	6
405	NA	1
