0	1	1
5	1	NA
10	4	NA
15	5	NA
20	6	NA
25	3	NA
30	5	NA
35	4	NA
40	5	NA
45	7	NA
50	7	NA
55	6	NA
60	5	NA
65	4	NA
70	5	NA
75	4	NA
80	5	NA
85	5	NA
90	5	NA
95	7	NA
100	4	NA
105	6	NA
110	5	NA
115	4	NA
120	4	NA
125	5	NA
130	6	NA
135	6	NA
140	5	NA
145	4	NA
150	6	NA
155	7	NA
160	5	NA
165	7	NA
170	7	NA
175	5	NA
180	2	NA
185	1	NA
190	1	NA
195	2	NA
200	5	NA
205	4	NA
210	5	NA
215	5	NA
220	7	NA
225	5	NA
230	3	NA
235	3	NA
240	2	NA
245	2	NA
250	2	NA
255	2	NA
260	1	NA
265	3	NA
270	2	NA
275	5	NA
280	4	NA
285	10	NA
290	7	NA
295	2	NA
300	2	NA
305	1	NA
