#x	accInfections
0	2.5e-05
1	3.125e-05
2	5.625e-05
3	8.75e-05
4	0.00011875
5	0.00014375
6	0.000175
7	0.00021875
8	0.00024375
9	0.0002625
10	0.00029375
11	0.00034375
12	0.00039375
13	0.0004375
14	0.000475
15	5e-04
16	0.00055625
17	0.000625
18	0.00071875
19	0.00080625
20	0.00095625
21	0.0010875
22	0.00118125
23	0.00130625
24	0.00145
25	0.00161875
26	0.001825
27	0.002025
28	0.0022875
29	0.00255
30	0.0028125
31	0.0030375
32	0.00335625
33	0.0037125
34	0.00411875
35	0.0045625
36	0.00496875
37	0.0053
38	0.00570625
39	0.0062125
40	0.00665625
41	0.0072125
42	0.00789375
43	0.0086375
44	0.00936875
45	0.0100375
46	0.010875
47	0.01173125
48	0.01274375
49	0.01365
50	0.01478125
51	0.0159375
52	0.0173125
53	0.0187625
54	0.02029375
55	0.02189375
56	0.02369375
57	0.02564375
58	0.027725
59	0.02990625
60	0.03235625
61	0.03496875
62	0.037925
63	0.0410375
64	0.04425
65	0.04775625
66	0.05175625
67	0.05593125
68	0.060375
69	0.06506875
70	0.07031875
71	0.075725
72	0.08195
73	0.0881375
74	0.0949625
75	0.1026625
76	0.110675
77	0.1196312
78	0.1288125
79	0.1386188
80	0.1496125
81	0.160775
82	0.173125
83	0.185875
84	0.1995312
85	0.2142125
86	0.22975
87	0.2459187
88	0.2631938
89	0.2811375
90	0.3000625
91	0.320025
92	0.3408125
93	0.3628375
94	0.3852875
95	0.4090437
96	0.4328125
97	0.457475
98	0.4826187
99	0.507825
100	0.5338875
101	0.5604438
102	0.5867813
103	0.6131937
104	0.639775
105	0.6663625
106	0.6916438
107	0.7169688
108	0.7418625
109	0.7653937
110	0.7885688
111	0.8100688
112	0.8309625
113	0.8501
114	0.8681437
115	0.884875
116	0.89995
117	0.9139
118	0.9263125
119	0.9377375
120	0.9473312
121	0.955925
122	0.9638813
123	0.9701875
124	0.9757313
125	0.9802125
126	0.9842875
127	0.9876187
128	0.9902375
129	0.9923375
130	0.9939562
131	0.9953188
132	0.9963062
133	0.997
134	0.9976
135	0.9979625
136	0.99825
137	0.9984812
138	0.9986312
139	0.9987312
140	0.9988125
141	0.9988938
142	0.99895
143	0.9989813
144	0.9989938
145	0.999
146	0.9990125
147	0.9990125
148	0.9990125
149	0.9990125
150	0.9990187
151	0.9990187
152	0.9990187
153	0.9990187
154	0.9990187
155	0.9990187
156	0.9990187
157	0.9990187
158	0.9990187
159	0.9990187
