#x	accInfections
0	1.25e-05
10	0.00019375
20	0.00058125
30	0.0012125
40	0.00186875
50	0.00293125
60	0.0047375
70	0.0066375
80	0.00966875
90	0.01375625
100	0.01931875
110	0.028025
120	0.03905625
130	0.05404375
140	0.07751875
150	0.1098937
160	0.1552813
170	0.2158812
180	0.2974188
190	0.3933937
200	0.4979625
210	0.6012563
220	0.6895313
230	0.754925
240	0.7979625
250	0.8245562
260	0.8400813
270	0.8491688
280	0.8534125
290	0.8558375
300	0.8573688
310	0.8584125
320	0.8591937
330	0.8596375
340	0.8597813
350	0.8598625
