0	1	2
5	7	7
10	9	10
15	10	12
20	14	4
25	36	11
30	50	12
35	52	3
40	66	NA
45	78	NA
50	122	NA
55	146	NA
60	178	NA
65	293	NA
70	315	NA
75	391	NA
80	467	NA
85	606	NA
90	797	NA
95	915	NA
100	1199	NA
105	1514	NA
110	1945	NA
115	2532	NA
120	3406	NA
125	4391	NA
130	5784	NA
135	7398	NA
140	8707	NA
145	10303	NA
150	11863	NA
155	13063	NA
160	13372	NA
165	12976	NA
170	12514	NA
175	10489	NA
180	8194	NA
185	6216	NA
190	4308	NA
195	2574	NA
200	1500	NA
205	903	NA
210	475	NA
215	218	NA
220	109	NA
225	46	NA
230	20	NA
235	8	NA
240	4	NA
