#x	numberInfected
0	1
10	9
20	2
30	7
40	11
50	15
60	21
70	31
80	25
90	43
100	57
110	103
120	146
130	189
140	239
150	366
160	515
170	780
180	869
190	1098
200	1582
210	1993
220	2458
230	3186
240	3687
250	4128
260	4111
270	4184
280	3995
290	3643
300	2986
310	2257
320	1692
330	1177
340	733
350	581
360	391
370	269
380	166
390	85
400	53
410	27
420	21
430	24
440	28
450	8
460	3
