0	1	1
5	5	4
10	12	13
15	24	28
20	33	29
25	61	32
30	69	37
35	81	36
40	100	52
45	124	44
50	171	63
55	221	81
60	272	113
65	340	188
70	387	285
75	437	342
80	526	393
85	600	481
90	756	554
95	969	651
100	1195	789
105	1480	887
110	1711	1086
115	2131	1290
120	2613	1576
125	3122	1845
130	3761	2277
135	4518	2754
140	5097	3222
145	5763	3819
150	6519	4598
155	7464	5253
160	8159	6051
165	8633	6953
170	9318	7841
175	9616	8495
180	9664	8920
185	9480	9459
190	8781	9744
195	7821	9682
200	6897	9081
205	6031	8497
210	5230	7709
215	4248	6941
220	3379	5919
225	2584	4954
230	1965	3952
235	1542	3000
240	1171	2202
245	855	1631
250	630	1153
255	422	775
260	245	571
265	146	415
270	103	308
275	84	241
280	65	149
285	49	81
290	44	51
295	27	52
300	23	45
305	15	31
310	19	18
315	16	14
320	13	15
325	9	11
330	0	3
