#x	largeOverTotal
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	0.5294118
11	0.5238095
12	0.4615385
13	0.5423729
14	0.5671642
15	0.5357143
16	0.537037
17	0.5294118
18	0.5471698
19	0.4591837
20	0.4537815
21	0.5587189
22	0.5659824
23	0.5298329
24	0.7131474
25	0.7612903
26	0.7961433
27	0.9307263
28	0.9009346
29	0.7864226
30	0.8754814
31	0.9309783
32	0.9539023
33	0.9438462
34	0.9783333
35	0.9886529
36	0.9914293
37	0.9802158
38	0.9932335
39	0.9920349
40	0.9906239
41	0.9918459
42	0.9960569
43	0.9936053
44	0.9911079
45	0.9822231
46	0.9612733
47	0.9557005
48	0.9383316
49	0.9204958
50	0.8541741
51	0.7034237
52	0.5698135
53	0.1832964
54	0.09970385
55	0.1142473
56	0.1017964
57	0.1085044
58	0.1396396
59	0.1594203
60	0.1555556
61	0.1746032
62	0.2
63	0.2916667
64	0.25
65	0.3333333
66	1
67	NaN
