#x	largeOverTotal
0	1
10	0.2857143
20	0.3809524
30	0.2888889
40	0.3076923
50	0.1481481
60	0.06666667
70	0.1339286
80	0.055
90	0.04411765
100	0.03157895
110	0.02702703
120	0.01830065
130	0.01576355
140	0.01082381
150	0.01079305
160	0.005691329
170	0.004630758
180	0.004492699
190	0.004231771
200	0.003833768
210	0.004941525
220	0.005117103
230	0.006086957
240	0.006446068
250	0.0104712
260	0.01858736
270	0.02997859
280	0.04265403
290	0.05217391
300	0.08333333
310	0.1186441
320	0.1282051
330	0.2857143
340	1
350	0.7142857
