0	1	1
5	1	2
10	1	5
15	1	11
20	1	14
25	1	25
30	4	32
35	7	41
40	11	42
45	14	61
50	15	88
55	23	104
60	31	138
65	32	176
70	48	204
75	58	264
80	63	398
85	102	487
90	156	591
95	197	718
100	260	887
105	316	1095
110	450	1343
115	537	1606
120	702	1880
125	890	2227
130	1086	2561
135	1315	2813
140	1626	2970
145	1849	3204
150	2284	3301
155	2616	3252
160	2916	2980
165	3198	2842
170	3477	2418
175	3516	2064
180	3423	1624
185	3207	1214
190	2865	873
195	2442	667
200	1946	455
205	1488	288
210	1060	196
215	780	115
220	474	82
225	284	48
230	157	25
235	94	23
240	51	17
245	32	10
250	19	7
255	15	4
260	5	1
265	5	1
270	4	NA
275	3	NA
280	4	NA
285	3	NA
290	2	NA
295	1	NA
300	2	NA
305	1	NA
