#x	maxWeight
0	1
10	6
20	1
30	4
40	6
50	5
60	6
70	5
80	5
90	5
100	7
110	9
120	8
130	11
140	11
150	13
160	14
170	23
180	14
190	15
200	15
210	15
220	15
230	18
240	21
250	19
260	18
270	18
280	23
290	30
300	23
310	25
320	16
330	16
340	11
350	12
360	16
370	10
380	10
390	8
400	5
410	5
420	3
430	6
440	8
450	5
460	2
