100	0.02
100	0.02
100	0.02
100	0.02
400	0.01
400	0.02
400	0.01
400	0.03
900	0.01
900	0.02
900	0.03
900	0.03
10000	0.08
10000	0.08
10000	0.09
10000	0.08
22500	0.27
22500	0.25
22500	0.28
22500	0.28
22500	0.28
22500	0.3
40000	1
40000	0.57
40000	0.62
90000	2.62
90000	2.77
160000	8.6
160000	8.67
250000	21.16
360000	44.96
490000	82.69
10000	0.11
#at the moment fastest solution compared to renaming afterwards
