0	2	3
1	4	2
2	6	4
3	9	3
4	11	2
5	10	3
6	10	4
7	14	7
8	14	11
9	12	9
10	15	10
11	13	13
12	17	10
13	21	14
14	18	20
15	21	21
16	25	21
17	30	20
18	37	18
19	41	19
20	37	24
21	45	29
22	46	31
23	54	34
24	64	27
25	73	35
26	81	35
27	88	33
28	92	39
29	95	39
30	92	44
31	95	53
32	97	59
33	111	76
34	132	86
35	138	94
36	144	108
37	160	119
38	176	124
39	188	141
40	198	150
41	212	169
42	222	219
43	228	233
44	250	256
45	266	304
46	298	328
47	332	401
48	370	445
49	417	500
50	459	566
51	493	632
52	560	671
53	597	725
54	658	827
55	748	901
56	822	974
57	919	1045
58	1007	1165
59	1140	1301
60	1250	1447
61	1349	1671
62	1517	1818
63	1660	1972
64	1720	2181
65	1835	2363
66	1960	2465
67	2153	2586
68	2334	2779
69	2529	2939
70	2699	3165
71	2831	3374
72	3044	3480
73	3248	3631
74	3353	3826
75	3488	3965
76	3576	4033
77	3761	4187
78	3850	4188
79	3821	4130
80	3827	4116
81	3773	4103
82	3798	4010
83	3804	3844
84	3649	3672
85	3631	3437
86	3459	3138
87	3267	2893
88	3081	2650
89	2837	2397
90	2678	2150
91	2493	1890
92	2339	1699
93	2248	1540
94	2100	1388
95	1885	1240
96	1694	1110
97	1528	970
98	1361	836
99	1200	684
100	1063	571
101	900	479
102	717	406
103	609	344
104	509	265
105	434	245
106	363	201
107	312	156
108	271	120
109	213	107
110	193	90
111	152	88
112	132	66
113	106	59
114	90	55
115	75	51
116	58	48
117	55	46
118	52	45
119	39	39
120	32	33
121	30	31
122	22	25
123	15	26
124	9	21
125	10	19
126	8	21
127	4	24
128	2	17
129	3	18
130	3	19
131	0	17
132	NA	13
133	NA	11
134	NA	13
135	NA	15
136	NA	11
137	NA	9
138	NA	9
139	NA	9
140	NA	6
141	NA	6
142	NA	6
143	NA	3
144	NA	0
